company,code,capitalication
"因幡電機産業","9934","207114149000"
"ミライト・ワン","1417","206713958503.5"
"DCMホールディングス","3050","206125500000"
"椿本チエイン","6371","204800533539"
"イオンディライト","9787","204545673280"
"東海理化電機製作所","6995","204393916899"
"三菱ロジスネクスト","7105","203879154830"
"王将フードサービス","9936","203568222660"
"安藤・間","1719","202743740640"
"セリア","2782","200976000000"
"エディオン","2730","197801953176"
"アズワン","7476","197347660230"
"山陰合同銀行","8381","197320682304"
"阪和興業","8078","197058439200"
"上村工業","4966","196374150000"
"科研製薬","4521","195795129260"
"東海カーボン","5301","194710750822.4"
"吉野家ホールディングス","9861","193434787260"
"オカムラ","7994","193393602362"
"ダイヘン","6622","193304847050"
"東芝テック","6588","193057619000"
"タムロン","7740","192348000000"
"スターツコーポレーション","8850","191963618775"
"TKC","9746","191133445270"
"第一興商","7458","190639218600"
"キッセイ薬品工業","4547","190341174100"
"セイコーグループ","8050","190252579295"
"北洋銀行","8524","189154524846"
"DTS","9682","188587881300"
"明電舎","6508","187801102500"
"デンカ","4061","186321487360"
"能美防災","6744","185539951550"
"パイロットコーポレーション","7846","185363235200"
"サンエー","2659","185301703276"
"トクヤマ","4043","185267000390"
"ダイセキ","9793","185130000000"
"クリエイトSDホールディングス","3148","185089577340"
"伊藤忠エネクス","8133","183970860844"
"雪印メグミルク","2270","182964297030"
"ヨネックス","7906","182955476000"
"五洋建設","1893","182562678753"
"フジ","8278","182486460354"
"ジャパンマテリアル","6055","182224118160"
"三井倉庫ホールディングス","9302","180193886440"
"福山通運","9075","179980936835"
"中電工","1941","179646781530"
"ダスキン","4665","178400000000"
"ノーリツ鋼機","7744","177335272800"
"レオパレス21","8848","177211559070"
"フジミインコーポレーテッド","5384","175816207500"
"シンフォニアテクノロジー","6507","175755819800"
"アンリツ","6754","175748613339"
"artience","4634","175733930160"
"稲畑産業","8098","175011217510"
"フリー","4478","174424258752"
"マックス","6454","174224666290"
"セーレン","3569","173864507740"
"さくらインターネット","3778","173846405000"
"日本証券金融","8511","173536000000"
"ライフコーポレーション","8194","172336038000"
"三機工業","1961","172249914240"
"淀川製鋼所","5451","171921042000"
"ANYCOLOR","5032","171857889720"
"平和不動産","8803","171566882340"
"カバー","5253","171474333100"
"レーサム","8890","171289446000"
"GENDA","9166","171263840000"
"デジタルガレージ","4819","171194259500"
"ピジョン","7956","170193226914"
"西日本鉄道","9031","169791117947"
"アリアケジャパン","2815","169620891110"
"コメリ","8218","168668420800"
"プレサンスコーポレーション","3254","167813083396"
"鴻池運輸","9025","167724941690"
"カチタス","8919","167604513840"
"ニップン","2001","167106899080"
"北海道電力","9509","167088052903.2"
"カナデビア","7004","166810546140"
"CKD","6407","166785606744"
"サンゲツ","8130","166766400000"
"サカタのタネ","1377","166382538750"
"東亞合成","4045","165989250000"
"北陸電力","9505","165911217827.19998"
"エフ・シー・シー","7296","164512593750"
"日本パーカライジング","4095","164031796188"
"十六フィナンシャルグループ","7380","163832258880"
"住友電設","1949","163746864005"
"ダイダン","1980","163631135120"
"百五銀行","8368","163144398000"
"オープンアップグループ","2154","162912022275"
"フューチャー","4722","162534240000"
"オーエスジー","6136","162213006553.5"
"クレハ","4023","161904674844"
"熊谷組","1861","161887994400"
"日清オイリオグループ","2602","161332289745"
"パラマウントベッドホールディングス","7817","161180482140"
"東和薬品","4553","160472340000"
"日本曹達","4041","160067009856"
"アダストリア","2685","159576000000"
"住友理工","5191","159185493180"
"三井ハイテック","6966","158262128650"
"松竹","9601","157915919810"
"東建コーポレーション","1766","157891840000"
"ノエビアホールディングス","4928","157291248915"
"マニー","7730","157241315551.5"
"リコーリース","8566","156528547230"
"アスクル","2678","156039890300"
"西松屋チェーン","7545","155809448584"
"ジーエヌアイグループ","2160","155697801945"
"日本マイクロニクス","6871","154697846340"
"トランス・コスモス","9715","154677125820"
"システナ","2317","154651840000"
"加賀電子","8154","154245182132"
"いちご","2337","154175495628"
"大気社","1979","154141421310"
"三井E&S","7003","152998496028"
"ジンズホールディングス","3046","152992400000"
"アインホールディングス","9627","152447596236"
"アイフル","8515","151686102568"
"壱番屋","7630","151329240000"
"アークス","9948","150581455216"
"ライフネット生命保険","7157","150524675625"
"ティーガイア","3738","149100766000"
"日清紡ホールディングス","3105","148838777723.80002"
"グローリー","6457","147728623365"
"理研計器","7734","147644640000"
"AZ-COM丸和ホールディングス","9090","147505451880"
"H.U.グループホールディングス","4544","147362879608"
"加藤産業","9869","147350000000"
"マルハニチロ","1333","146172838930"
"奥村組","1833","145767902020"
"エスケー化研","4628","145767130500"
"紀陽銀行","8370","145502600000"
"タダノ","6395","144910897245"
"サンケン電気","6707","144539727540"
"大王製紙","3880","143999012952"
"インテグラル","5842","143572375000"
"Appier Group","4180","142597678998"
"フジシールインターナショナル","7864","141982216160"
"カヤバ","7242","141917877544"
"伊勢化学工業","4107","141883780050"
"霞ヶ関キャピタル","3498","141020122100"
"コロワイド","7616","140175411633"
"岡三証券グループ","8609","139655112092"
"東京きらぼしフィナンシャルグループ","7173","139611273825"
"三菱鉛筆","7976","139609560152"
"ディップ","2379","139284240000"
"オリエントコーポレーション","8585","137334213380"
"シンプレクス・ホールディングス","4373","136961193600"
"サイボウズ","4776","136326155200"
"トラスコ中山","9830","135713977664"
"MCJ","6670","134953252200"
"エス・エム・エス","2175","134231932800"
"ベルク","9974","133136564000"
"タクマ","6013","132800000000"
"エレコム","6750","132337737700"
"鳥居薬品","4551","131904000000"
"文化シヤッター","5930","131614195801"
"信越ポリマー","7970","131371167840"
"AREホールディングス","5857","131041083072"
"TOWA","6315","130578832032"
"ジャックス","8584","130494478920"
"イエローハット","9882","130399257352"
"NTN","6472","130027593293.4"
"北國フィナンシャルホールディングス","7381","129824197300"
"TOKAIホールディングス","3167","129483338679"
"ホシデン","6804","128961176400"
"メガチップス","6875","128484992000"
"前田工繊","7821","126698018932"
"KeePer技研","6036","125849738000"
"名村造船所","7014","125722577463"
"東海東京フィナンシャル・ホールディングス","8616","125600579430"
"東京都競馬","9672","125270939170"
"日産車体","7222","125158390896"
"中国塗料","4617","124795000000"
"山善","8051","124659508980"
"東洋建設","1890","124569961560"
"長谷川香料","4958","123853646600"
"コメダホールディングス","3543","123317812800"
"持田製薬","4534","122714250000"
"あいちフィナンシャルグループ","7389","122615178816"
"芝浦メカトロニクス","6590","122393844000"
"飯野海運","9119","122185800000"
"三谷セキサン","5273","121934603120"
"カナモト","9678","121650636740"
"大黒天物産","2791","121632347000"
"タカラバイオ","4974","121378924800"
"フェローテックホールディングス","6890","121187364828"
"ホギメディカル","3593","120980852770"
"コーナン商事","7516","120867163805"
"円谷フィールズホールディングス","2767","120547800000"
"ライフドリンク カンパニー","2585","120501946260"
"ジャフコ グループ","8595","120472940000"
"物語コーポレーション","3097","120429871700"
"ニシオホールディングス","9699","120379807360"
"PHCホールディングス","6523","120096571863"
"平和堂","8276","119963591010"
"三愛オブリ","8097","119526000000"
"ジョイフル本田","3191","119444085046"
"三ツ星ベルト","5192","119129078340"
"オートバックスセブン","9832","118398301515"
"メドレー","4480","118186346000"
"丸全昭和運輸","9068","118142538120"
"アトム","7412","117684052576"
"ゼリア新薬工業","4559","117446529090"
"扶桑化学工業","4368","117186300000"
"イオン北海道","7512","117113038560"
"横河ブリッジホールディングス","5911","117019778222"
"IDOM","7599","116614808000"
"やまびこ","6250","116578575204"
"ウイングアーク1st","4432","116426955800"
"富士急行","9010","115971451394"
"松屋フーズホールディングス","9887","115718285760"
"日東工業","6651","115548048000"
"象印マホービン","7965","115506600000"
"船井総研ホールディングス","9757","115350000000"
"日本電設工業","1950","115320748406"
"ビー・エム・エル","4694","115294605276"
"ロイヤルホールディングス","8179","115131039358"
"バローホールディングス","9956","114561472878"
"ウェルスナビ","7342","114467322708"
"SHOEI","7839","114249073932"
"トーセイ","8923","113920092000"
"名古屋銀行","8522","113769756730"
"ライト工業","1926","113677081000"
"住友大阪セメント","5232","113665030787"
"ダイドーグループホールディングス","2590","113494225000"
"ネクステージ","3186","113214529800"
"あいホールディングス","3076","112614915900"
