会社,証券コード,時価総額,売上高 (通期),営業利益 (通期),売上成長率（％） (通期),営業利益率 (%) (通期)
"レック","7874","43928306340","60783000000","1628000000","9.595932276735013","2.678380468223023"
"生化学工業","4548","43803665703","36213000000","433000000","8.2406743185079","1.1957032005081047"
"雪国まいたけ","1375","43742127200","47476000000","2811000000","12.491706947208797","5.920886342573089"
"エラン","6099","43692600000","41425000000","3665000000","14.228963595443005","8.847314423657211"
"丸大食品","2288","43681197488","228808000000","3117000000","3.0764171385581562","1.3622775427432607"
"ディア・ライフ","3245","43639689600","46880000000","4619000000","7.762683033354008","9.852815699658702"
"トーメンデバイス","2737","43600820000","370676000000","9480000000","-11.241053491084017","2.5574895596154055"
"愛媛銀行","8541","43487735031","65163000000","","25.008153164386982",""
"ヤマシンフィルタ","6240","43219798194","18024000000","1411000000","-3.125508417745124","7.828450954283178"
"ピー・シー・エー","9629","43164000000","15018000000","2309000000","15.691924837688106","15.374883473165536"
"丹青社","9743","42952150977","81200000000","3883000000","26.437502534199936","4.782019704433497"
"トーモク","3946","42860914688","211526000000","8057000000","-0.6066244707894697","3.8089880203852013"
"堺化学工業","4078","42738000000","82105000000","2942000000","-2.093941164546095","3.583216612873759"
"タムラ製作所","6768","42710080068","106622000000","4940000000","-1.2695267285842533","4.633190148374632"
"イチネンホールディングス","9619","42701519520","138253000000","9045000000","8.160567038537963","6.542353511316209"
"ミダックホールディングス","6564","42687869500","9547000000","3538000000","22.843167606358364","37.058761914737616"
"福田組","1899","42558705585","162243000000","5205000000","5.108254836160086","3.208150736857676"
"ダイコク電機","6430","42518496400","53861000000","12001000000","69.24476288152303","22.281428120532482"
"日本調剤","3341","42380520000","340310000000","9142000000","8.61488966481339","2.686374188240134"
"三洋貿易","3176","42322245972","129263000000","7072000000","5.43818721654867","5.47101645482466"
"コーセル","6905","42256938600","41437000000","6912000000","17.5","16.680744262374205"
"ホットランド","3196","42228420000","38710000000","2235000000","20.355441238095892","5.773701885817618"
"ビジネスエンジニアリング","4828","42000000000","19493000000","3885000000","5.331071774590541","19.93023136510542"
"技研製作所","6289","41981949992","29481000000","3324000000","0.71","11.275058512262135"
"旭ダイヤモンド工業","6140","41874100200","38653000000","1526000000","-1.6963377416073229","3.947947119240421"
"長野計器","7715","41819781568","67935000000","7150000000","12.207789633724602","10.524766320747773"
"バリューHR","6078","41789815200","7100000000","1385000000","15.104349388066368","19.507042253521124"
"新日本製薬","4931","41765287200","40043000000","4176000000","6.347435795288561","10.428789051769348"
"養命酒製造","2540","41745000000","10242250000","473840000","-3.8036635802628638","4.626327223022285"
"NSW","9739","41422000000","50299000000","5862000000","8.90058023729108","11.654307242688722"
"日本精線","5659","41301315990","44727000000","3537000000","-8.822749974518402","7.907975048628344"
"トレジャー・ファクトリー","3093","41123434200","34454000000","3348000000","22.12","9.717304231729262"
"日特建設","1929","41105971735","71880000000","4352000000","-1.4235168271208778","6.054535336672232"
"アカツキ","3932","41097910100","23972000000","2676000000","-1.4957264957264869","11.16302352744869"
"レオン自動機","6272","41083224000","37703000000","4883000000","6.900393007728184","12.95122404052728"
"ミツバ","7280","41023628100","344154000000","21152000000","7.716431924882627","6.146085763931263"
"クイック","4318","40832755488","29487000000","4964000000","6.087830376327389","16.834537253705022"
"アイコム","6820","40733550000","37117000000","3415000000","8.614988441166986","9.20063582724897"
"チャーム・ケア・コーポレーション","6062","40661016000","47829000000","5386000000","26.24119090981077","11.260950469380502"
"ニチバン","4218","40480587712","46859000000","2073000000","2.851185250219501","4.423910027956209"
