68621,66275,65532,63949,62537,61169,58504,55290,50849
50346,46822,45615,44499,42407,41184,39144,36753,34473
95428,94029,95748,96589,95489,94410,92843,89555,85229
28678,29690,32895,33482,33470,34660,35711,35814,34442
108378,105444,106428,105926,103564,100879,98326,93352,88301
55601,52502,51210,49356,46660,44794,42050,40049,36387
30542,30096,31428,32033,31838,31336,30347,28972,27544
39216,38830,39098,38348,36297,34945,33565,31868,29568
13768,11878,10526,9728,8035,7703,7171,6824,6054
5242,4708,4352,4116,3746,3553,3369,3107,2727
6769,6179,5837,5616,5291,5024,4708,4348,3848
28168,26573,26089,25254,24151,23346,22112,20438,18876
13083,11984,11638,11152,10677,10138,9698,9012,8220
17413,16582,15953,15047,14161,13371,12372,11678,10516
8189,8069,8228,8239,8152,7768,7533,7093,6623
6669,6427,6380,6316,6294,6208,6116,5847,5493
1640,3273,3334,3254,3286,3311,3323,3256,3218
27981,26623,26356,26358,25987,25232,24207,23038,21674
23604,21956,21399,21248,20906,20307,19485,18267,16792
4546,4132,4011,3818,3734,3568,3390,3180,2872
204127,219773,237041,245158,249487,254488,255369,256012,254244
92764,91974,92823,93721,94760,95592,95396,93178,89401
153173,150348,153330,152636,150840,149509,147546,142384,136623
120212,120614,125622,123823,122850,122536,121614,117577,111151
42120,42227,42911,43033,43125,42896,42151,40717,38850
38558,39311,41048,41828,42076,42805,43379,43625,42373
38357,37858,38533,38822,38237,38047,36886,36013,33836
34130,32670,32324,32204,31589,30506,29586,28192,26811
33221,33023,33286,33490,33260,32727,31987,30929,29473
44758,48082,52597,55123,57339,60626,63231,63864,62214
39113,39266,40559,41874,42751,43208,44800,45834,46414
27173,25377,25231,24801,23909,23127,22010,20695,18955
37271,36311,36682,37146,36977,36810,36191,35190,33658
14825,14363,14281,14369,15016,15357,15512,15415,15139
11597,11281,11624,11873,11773,12390,12573,12523,12015
22643,21947,21880,22311,22287,21930,21476,20738,19959
10740,10016,9473,9511,8554,8208,7452,6917,6270
12501,11646,11109,10875,10417,9819,9337,8593,7856
13126,11801,11374,11061,10724,10537,10477,9915,9227
11799,10952,10685,10633,10292,9949,9400,8824,8160
8430,7959,8037,7872,7886,7665,7381,6949,6365
14015,13520,13190,13007,12541,12174,11483,10761,9847
8397,8033,8028,7920,7806,7546,6996,6671,6164
13976,13253,12888,12557,12230,11571,10592,10054,9165
6080,5598,5301,5203,4982,4863,4528,4226,3762
7059,6724,6645,6616,6396,6092,5829,5447,4862
8600,7939,7601,7421,7248,6959,6450,5915,5304
27760,26868,27440,27576,27510,26964,26807,26026,25025
23769,22539,22423,22205,21548,20764,19688,18769,17313
13999,12649,12221,12096,11315,10715,10262,9742,8862
20183,18977,18821,18526,18112,17706,17149,16331,15314
12129,10764,10220,10131,9880,9538,9204,8623,7943
8864,8383,8479,8511,8263,8188,7879,8003,7731
28925,27775,27798,27458,26705,26251,25489,24677,23158
21224,20481,20412,20271,19705,18895,18037,16852,15480
235467,254223,270487,278229,284768,292696,297894,297357,292590
120839,124722,130883,134912,136336,137065,135415,131389,126220
241726,264628,286451,301673,314642,326833,334824,338834,338712
327164,330213,342074,350569,355812,360598,360138,354492,342249
58896,59821,60253,62596,63839,65155,66048,65707,64704
66552,67429,69553,71202,73107,77020,79409,80364,79267
64177,60924,60456,60411,59817,59554,58571,56396,52356
37189,37551,38332,39346,39134,39449,38842,38630,37817
68117,66745,66709,67154,66988,67269,66077,63178,59871
52926,49924,48932,48057,46758,46129,45052,43253,40422
69105,71402,74296,77139,77253,77860,75246,72837,70878
73767,72977,74186,74626,74200,73305,71817,69289,66027
26512,26877,27732,28531,29144,30682,31541,31367,31489
14723,14818,14901,14918,14692,14221,13700,13411,12853
12093,11928,12050,12010,11888,11736,11198,10692,10086
22747,21644,21099,20864,20001,19043,17751,17034,15569
7788,7647,7837,7979,8163,8339,8407,8464,8574
9278,10721,11437,11883,12130,12378,12743,12746,12815
7324,6836,6820,6878,6964,7153,6889,6486,6291
11077,10208,10025,9033,8537,7951,7579,7053,6461
851,827,765,735,702,727,757,706,636
8838,7759,7271,6731,6170,5804,5557,5284,4932
26813,25166,24119,23288,22548,22059,21095,19870,17864
4287,4010,3869,3749,3812,3859,3644,3475,3185
14200,12505,11490,10701,10122,9845,9075,8237,7366
5263,4769,4501,4391,4338,4357,4109,3951,3761
21417,20106,19717,19146,18839,18874,18178,17009,15805
21720,20510,20504,20431,20332,20083,19426,18274,17360
4207,3875,3789,3811,3683,3642,3601,3570,3364
6817,6013,5678,5519,5343,5136,4669,4260,4009
4108,3766,3389,3180,2883,2674,2474,2250,1926
6511,5218,4790,4282,3945,3511,3204,2834,2462
3604,2902,2629,2374,2167,2025,1874,1632,1500
30036,27973,27945,27705,27211,27039,26172,24741,22737
10454,11662,12744,14622,16194,17920,18642,19494,19767
5490,5358,5577,5834,6656,6924,6823,6761,6802
4438,4344,4448,4681,4885,5128,5274,5174,5154
15666,16308,17578,18249,18642,19075,18892,18735,18407
16621,16059,16105,16510,16606,16547,16376,15795,15062
9211,8540,8074,7918,7596,7409,7062,6740,6348
13592,12583,12060,12166,11926,11743,11296,10619,9884
6404,5700,5537,5423,5219,4957,4602,4322,3989
22423,21893,21731,21727,21534,21026,19914,18921,17775
7480,7248,7431,7505,7631,7593,7680,7602,7231
9359,8825,8804,8738,8523,8322,7910,7538,6921
7837,7467,7488,7621,7727,7625,7484,7272,6888
9113,8315,7879,7860,7617,7348,6818,6511,6030
19898,18859,19047,18987,19205,20124,19976,19194,18191
15498,14516,14085,13854,13431,13306,12555,12105,11202
4939,4796,5335,5323,5591,5767,5813,5533,5418
8215,7884,8366,8422,8322,8476,8380,8188,7700
11614,12770,14941,15895,15861,16033,16173,15910,16001
4709,4308,4132,4020,3933,3797,3384,3125,2820
7750,8190,9296,9988,10304,10656,10803,10992,11515
7424,7602,8017,8219,8182,7990,7647,7170,6932
21375,21523,22601,23595,23515,23245,22609,21615,20905
2397,2174,1992,2012,1866,1831,1736,1625,1531
8646,8617,8704,8876,8904,9093,9017,8584,8224
